22,['Quincey Morris'],83
22,"['Prof. Van Helsing', 'Dr. Seward']",32
22,"['Mina Murray', 'Prof. Van Helsing']",13
22,"['Renfield', 'Prof. Van Helsing']",24
22,"['Renfield', 'Dr. Seward']",24
22,"['Mina Murray', 'Count Dracula']",10
22,"['Renfield', 'Prof. Van Helsing', 'Dr. Seward']",24
23,['Quincey Morris'],89
23,['Count Dracula'],79
23,['Arthur Holwood'],25
23,['Prof. Van Helsing'],108
23,['Mina Murray'],99
23,['Jonathan Harker'],56
23,['Lucy Westenra'],8
23,['Dr. Seward'],18
23,"['Quincey Morris', 'Count Dracula']",8
23,"['Arthur Holwood', 'Quincey Morris']",19
23,"['Quincey Morris', 'Prof. Van Helsing']",12
23,"['Quincey Morris', 'Dr. Seward']",12
23,"['Mina Murray', 'Prof. Van Helsing']",6
23,"['Prof. Van Helsing', 'Dr. Seward']",12
23,"['Mina Murray', 'Jonathan Harker']",9
23,"['Quincey Morris', 'Prof. Van Helsing', 'Dr. Seward']",12
24,['Jonathan Harker'],64
24,['Prof. Van Helsing'],141
24,['Mina Murray'],153
24,['Lucy Westenra'],18
24,['Count Dracula'],115
24,['Quincey Morris'],52
24,['Dr. Seward'],30
24,"['Jonathan Harker', 'Prof. Van Helsing']",15
24,"['Mina Murray', 'Jonathan Harker']",40
24,"['Quincey Morris', 'Jonathan Harker']",12
24,"['Jonathan Harker', 'Dr. Seward']",12
24,"['Mina Murray', 'Prof. Van Helsing']",29
24,"['Lucy Westenra', 'Prof. Van Helsing']",12
24,"['Count Dracula', 'Prof. Van Helsing']",48
24,"['Quincey Morris', 'Prof. Van Helsing']",12
24,"['Prof. Van Helsing', 'Dr. Seward']",12
24,"['Mina Murray', 'Quincey Morris']",12
24,"['Mina Murray', 'Dr. Seward']",18
24,"['Quincey Morris', 'Count Dracula']",12
24,"['Quincey Morris', 'Dr. Seward']",17
24,"['Mina Murray', 'Jonathan Harker', 'Prof. Van Helsing']",12
24,"['Quincey Morris', 'Jonathan Harker', 'Prof. Van Helsing']",12
24,"['Jonathan Harker', 'Prof. Van Helsing', 'Dr. Seward']",12
24,"['Mina Murray', 'Quincey Morris', 'Jonathan Harker']",12
24,"['Mina Murray', 'Jonathan Harker', 'Dr. Seward']",12
24,"['Quincey Morris', 'Jonathan Harker', 'Dr. Seward']",12
24,"['Mina Murray', 'Quincey Morris', 'Prof. Van Helsing']",12
24,"['Mina Murray', 'Prof. Van Helsing', 'Dr. Seward']",12
24,"['Quincey Morris', 'Prof. Van Helsing', 'Dr. Seward']",12
24,"['Mina Murray', 'Quincey Morris', 'Dr. Seward']",12
24,"['Mina Murray', 'Quincey Morris', 'Jonathan Harker', 'Prof. Van Helsing']",12
24,"['Mina Murray', 'Jonathan Harker', 'Prof. Van Helsing', 'Dr. Seward']",12
24,"['Quincey Morris', 'Jonathan Harker', 'Prof. Van Helsing', 'Dr. Seward']",12
24,"['Mina Murray', 'Quincey Morris', 'Jonathan Harker', 'Dr. Seward']",12
24,"['Mina Murray', 'Quincey Morris', 'Prof. Van Helsing', 'Dr. Seward']",12
24,"['Quincey Morris', 'Prof. Van Helsing', 'Dr. Seward', 'Mina Murray', 'Jonathan Harker']",12
25,['Prof. Van Helsing'],119
25,['Quincey Morris'],65
25,['Mina Murray'],41
25,['Jonathan Harker'],66
25,['Count Dracula'],84
25,['Lucy Westenra'],20
25,['Dr. Seward'],47
25,['Arthur Holwood'],10
25,"['Count Dracula', 'Prof. Van Helsing']",17
25,"['Prof. Van Helsing', 'Dr. Seward']",9
25,"['Mina Murray', 'Dr. Seward']",18
25,"['Count Dracula', 'Dr. Seward']",9
25,"['Count Dracula', 'Prof. Van Helsing', 'Dr. Seward']",9
26,['Prof. Van Helsing'],143
26,['Quincey Morris'],106
26,['Mina Murray'],146
26,['Jonathan Harker'],176
26,['Dr. Seward'],83
26,['Count Dracula'],98
26,"['Mina Murray', 'Prof. Van Helsing']",28
26,"['Jonathan Harker', 'Prof. Van Helsing']",47
26,"['Prof. Van Helsing', 'Dr. Seward']",22
26,"['Mina Murray', 'Quincey Morris']",41
26,"['Quincey Morris', 'Jonathan Harker']",21
26,"['Quincey Morris', 'Dr. Seward']",61
26,"['Mina Murray', 'Jonathan Harker']",49
26,"['Mina Murray', 'Dr. Seward']",21
26,"['Jonathan Harker', 'Dr. Seward']",43
26,"['Count Dracula', 'Jonathan Harker']",32
26,"['Mina Murray', 'Jonathan Harker', 'Prof. Van Helsing']",19
26,"['Jonathan Harker', 'Prof. Van Helsing', 'Dr. Seward']",22
26,"['Mina Murray', 'Quincey Morris', 'Jonathan Harker']",21
26,"['Mina Murray', 'Quincey Morris', 'Dr. Seward']",21
26,"['Quincey Morris', 'Jonathan Harker', 'Dr. Seward']",21
26,"['Mina Murray', 'Jonathan Harker', 'Dr. Seward']",21
26,"['Mina Murray', 'Quincey Morris', 'Jonathan Harker', 'Dr. Seward']",21
27,['Mina Murray'],218
27,['Prof. Van Helsing'],112
27,['Jonathan Harker'],182
27,['Dr. Seward'],94
27,['Count Dracula'],59
27,['Quincey Morris'],65
27,['Lucy Westenra'],28
27,"['Mina Murray', 'Jonathan Harker']",36
27,"['Mina Murray', 'Dr. Seward']",5
27,"['Mina Murray', 'Quincey Morris']",7
27,"['Prof. Van Helsing', 'Dr. Seward']",16
27,"['Jonathan Harker', 'Dr. Seward']",8
27,"['Quincey Morris', 'Jonathan Harker']",23
27,"['Quincey Morris', 'Dr. Seward']",16
27,"['Lucy Westenra', 'Dr. Seward']",28
27,"['Quincey Morris', 'Jonathan Harker', 'Dr. Seward']",8
